EL CERRILLO VISTA HERMOSA - 44 - TERRA,,,,,,,,,,,,,,,,,,,
Empresa,No. Contrato,,folio,,Solicitud Atendida,,fechaRealizado,,CALLE,Entre Calle 1,Calle 2,colonia,delegacion,GEOLOCALIZACION,Tipo,profundidad,largo,ancho,m2total
TERRA,44,,440080,,,,20/4/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.320829, -99.537538",PROFUNDO,0.10,3.45,3.00,10.35
,,,,6,,,,,,,,,,,,,,,
TERRA,44,,440081,,,,27/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320795, -99.537759",SUPERFICIAL,0.07,1.55,1.35,2.09
TERRA,44,,440082,,,,27/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320817, -99.537760",SUPERFICIAL,0.07,2.65,2.60,6.89
TERRA,44,,440083,,,,27/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320842, -99.537767",SUPERFICIAL,0.07,2.30,1.75,4.03
TERRA,44,,440084,,,,27/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320814, -99.537791",SUPERFICIAL,0.07,2.45,2.40,5.88
TERRA,44,,440085,,,,27/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320619, -99.538452",SUPERFICIAL,0.07,3.55,2.00,7.10
TERRA,44,,440086,,,,27/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320643, -99.538451",SUPERFICIAL,0.07,3.55,2.00,7.10
TERRA,44,,440087,,,,27/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320663, -99.538463",SUPERFICIAL,0.07,3.55,2.50,8.88
TERRA,44,,440088,,,,27/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320670, -99.538492",SUPERFICIAL,0.07,4.05,2.20,8.91
TERRA,44,,440089,,,,27/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320631, -99.538574",SUPERFICIAL,0.07,3.35,2.15,7.20
TERRA,44,,440090,,,,27/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320589, -99.538649",SUPERFICIAL,0.07,2.10,1.95,4.10
TERRA,44,,440091,,,,27/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320499, -99.538716",SUPERFICIAL,0.07,2.60,1.70,4.42
TERRA,44,,440092,,,,27/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320525, -99.538755",SUPERFICIAL,0.07,1.50,1.30,1.95
TERRA,44,,440093,,,,29/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320474, -99.538839",SUPERFICIAL,0.07,3.98,2.00,7.96
TERRA,44,,440094,,,,29/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320477, -99.538841",SUPERFICIAL,0.07,3.98,2.00,7.96
TERRA,44,,440095,,,,29/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320488, -99.538844",SUPERFICIAL,0.07,3.98,1.35,5.37
TERRA,44,,440096,,,,29/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320426, -99.538950",SUPERFICIAL,0.07,3.80,2.20,8.36
TERRA,44,,440097,,,,29/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320437, -99.538939",PROFUNDO,0.10,4.75,1.95,9.26
TERRA,44,,440098,,,,29/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320429, -99.539098",PROFUNDO,0.10,3.18,2.88,9.16
TERRA,44,,440099,,,,29/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320379, -99.539334",SUPERFICIAL,0.07,2.62,2.00,5.24
TERRA,44,,440100,,,,29/4/2026,,RÍO CONSULADO,RÍO LERMA,"PISTA TOLUCA - 
 NAUCALPAN",EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.320371, -99.539351",SUPERFICIAL,0.07,1.28,1.65,2.11
,,,,7,,,,,,,,,,,,,,,
TERRA,44,,440103,,,,7/5/2026,,FELIPE CHÁVEZ,MIGUEL HIDALGO,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.319072, -99.538901",SUPERFICIAL,0.07,2.80,1.80,5.04
TERRA,44,,440105,,,,7/5/2026,,FELIPE CHÁVEZ,MIGUEL HIDALGO,DEPORTIVA,EL CERRILLO,"EL CERRILLO VISTA
 HERMOSA","19.322037, -99.544059",SUPERFICIAL,0.07,1.50,0.80,1.20
