UNIVERSIDAD - 07 - DOMAJA,,,,,,,,,,,,,,,,,,,
Empresa,No. Contrato,,folio,OBSERVACIONES,Solicitud Atendida,,fechaRealizado,,calle,Entre Calle 1,Calle 2,colonia,delegacion,GEOLOCALIZACION,Tipo,profundidad,largo,ancho,m2total
DOMAJA ,07,,070062,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.274530, -99.649414",PROFUNDO,0.10,1.90,2.02,3.84
,,,,,,,,,,,,,,,,,,,
DOMAJA ,07,,070063,,,,30/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.274530, -99.649414",PROFUNDO,0.10,3.13,1.35,4.23
DOMAJA ,07,,070064,,,,30/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.275652, -99.649948",PROFUNDO,0.10,1.75,2.08,3.64
DOMAJA ,07,,070065,,,,30/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.275652, -99.649948",PROFUNDO,0.10,1.53,1.98,3.03
DOMAJA ,07,,070066,,,,30/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.274763, -99.649530",PROFUNDO,0.10,1.66,3.58,5.94
DOMAJA ,07,,070067,,,,30/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.274763, -99.649536",PROFUNDO,0.10,1.58,4.20,6.64
DOMAJA ,07,,070068,,,,30/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.275698, -99.650047",PROFUNDO,0.10,1.90,1.78,3.38
DOMAJA ,07,,070069,,,,30/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.274858, -99.649338",PROFUNDO,0.10,1.30,2.90,3.77
DOMAJA ,07,,070070,,,,30/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.274858, -99.649338",PROFUNDO,0.10,1.45,1.71,2.48
DOMAJA ,07,,070071,,,,30/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.274651, -99649483",PROFUNDO,0.10,2.10,3.38,7.10
DOMAJA ,07,,070072,,,,30/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.274746, -99649529",PROFUNDO,0.10,1.81,2.57,4.65
DOMAJA ,07,,070073,,,,30/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.274763, -99649536",PROFUNDO,0.10,2.42,2.88,6.97
DOMAJA ,07,,070074,,,,31/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19,274763, -99649536",PROFUNDO,0.10,4.26,2.98,12.70
DOMAJA ,07,,070075,,,,31/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.274448, -99.649376",PROFUNDO,0.10,1.92,4.19,8.05
DOMAJA ,07,,070076,,,,31/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.274343, -99.649307",PROFUNDO,0.10,3.14,2.77,8.70
DOMAJA ,07,,070077,,,,31/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.274097, -99.649193",PROFUNDO,0.10,1.90,1.55,2.95
DOMAJA ,07,,070078,,,,31/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.274111, -99.649284",PROFUNDO,0.10,2.48,2.90,7.19
DOMAJA ,07,,070079,,,,31/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.274061, -99.649605",PROFUNDO,0.10,1.85,2.75,5.09
DOMAJA ,07,,070080,,,,31/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.274168, -99.649002",PROFUNDO,0.10,2.92,2.96,8.64
DOMAJA ,07,,070081,,,,31/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.274233, -99.649200",PROFUNDO,0.10,1.60,2.20,3.52
DOMAJA ,07,,070082,,,,1/4/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.273998, -99.649269",PROFUNDO,0.10,1.20,1.38,1.66
DOMAJA ,07,,070083,,,,1/4/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.273998, -99.649269",PROFUNDO,0.10,1.38,1.25,1.73
